"ID","Title","Abstract Note","Author","Year"," Venue","search_strings","V1_decision","V1_reason","V2_decision","V2_reason"
"23","Log-based, Business-aware REST API Testing","… (eg, Swagger or OpenAPI) to generate test cases. Using the … an LLM to determine whether a parameter originates from any resource in the previously obtained resource set R. The LLM …","Yang, D; Qian, R; Wei, Z; Chen, Z; Fang, C","2026","arXiv preprint arXiv:2604.08007","String ","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"24","Design, Implementation, and Evaluation of an LLM-Powered System for Automatic API Generation According to OpenAPI Specification","… , automated testing, and the creation of Software Development Kits (SDKs). As a result, adopting OpenAPI … Despite these benefits, creating OpenAPI definitions remains a challenging …","Kesraoui, A; Houssaini, OI; ...","2025","… Conference on Intelligent …","String A","INCLUDE","","INCLUDE",""
"25","Detecting and Mitigating Flakiness in REST API Fuzzing","… test cases under both black-box and white-box settings. We also introduce a manually labeled dataset of failing test cases, … a study to investigate the flakiness of LLM-generated tests for …","Zhang, M; Shen, C; Arcuri, A; Yue, T","2026","arXiv preprint arXiv:2603.28452","String A","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"26","AI-Based Test Case Generation from Jira Stories, Swagger, or Code","… test cases from various authoritative sources: Jira user stories (representing business requirements), Swagger/OpenAPI … Learning model, often a Large Language Model (LLM) due to …","Palanisamy, P","2024","","String A","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"27","Large language models for OpenAPI definition autocompletion","… OpenAPI definitions for generating API documentation and client libraries, performing automated testing, or … open-source LLM Code Llama. To achieve this, a novel semantics-aware …","Petryshyn, B","2024","","String A","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"28","Generating OpenAPI Specifications from Online API Documentation with Large Language Models","… ) is then translated into OAS via parallel LLM calls. Finally, OASBuilder provides an intuitive … To the best of our knowledge, OASBuilder is the first LLM-based automated system for gener…","Lazar, K; Vetzler, M; Kate, K; Tsay, J; Boaz, D; ...","2025","Proceedings of the …","String A","EXCLUDE","IC-E","EXCLUDE","Failed V1 screening"
"29","Spec2SeqFuzz: A Category Prediction-Guided Approach for Stateful Multi-Step REST API Fuzzing","… of work has studied automated testing and … LLM-driven generation may introduce cost and instability. We present Spec2SeqFuzz, a stateful multi-step fuzzing framework for REST API …","He, Z; Shang, S; Guo, Y; Zhou, A","2026","Electronics","String A & String B","EXCLUDE","IC-E","EXCLUDE","Failed V1 screening"
"30","OASBuilder: Generating OpenAPI Specifications from Online API Documentation with Large Language Models","… ) is then translated into OAS via parallel LLM calls. Finally, OASBuilder provides an intuitive … To the best of our knowledge, OASBuilder is the first LLM-based automated system for gener…","Lazar, K; Vetzler, M; Kate, K; Tsay, J; Gupta, DBH; ...","2025","arXiv preprint arXiv …","String A","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"31","Optimizing Large Language Models for OpenAPI Code Completion","… client libraries, performing automated testing, or even automatically … This research evaluates the OpenAPI completion perfor… LLM Code Llama [4]. To achieve this, a semantics-aware …","Petryshyn, B; Lukoševicius, M","2024","arXiv preprint arXiv:2405.15729","String A","EXCLUDE","IC-T, IC-E","EXCLUDE","Failed V1 screening"
"32","OASQuali: Automated Quality Analysis of OpenAPI Specifications","… hinder integration and prevent the effective use of automated testing and mock generation tools [5,… This paper bridges this gap by investigating the quality thresholds of public REST API …","Decrop, A; Vandeloise, M; ...","2026","Proceedings of the …","String A","EXCLUDE","IC-I, IC-E","EXCLUDE","Failed V1 screening"
"33","Enhancing REST API Handlers Organization for Node. js Microservices","This paper proposes an improved REST API internal routing method that reduces project complexity while enhancing the development and maintainability of microservice applications …","Chaplia, O; Klym, H; Konuhova, M; Popov, AI","2025","SN Computer Science","String A","EXCLUDE","IC-I, IC-E","EXCLUDE","Failed V1 screening"
"34","LlamaRestTest: Effective REST API Testing with Small Language Models","Modern web services rely heavily on REST APIs, typically documented using the OpenAPI specification. The widespread adoption of this standard has resulted in the development of many black-box testing tools that generate tests based on OpenAPI specifications. Although Large Language Models (LLMs) have shown promising test-generation abilities, their application to REST API testing remains mostly unexplored. We present LlamaRestTest, a novel approach that employs two custom LLMs-created by fine-tuning and quantizing the Llama3-8B model using mined datasets of REST API example values and inter-parameter dependencies-to generate realistic test inputs and uncover inter-parameter dependencies during the testing process by analyzing server responses. We evaluated LlamaRestTest on 12 real-world services (including popular services such as Spotify), comparing it against RESTGPT, a GPT-powered specification-enhancement tool, as well as several state-of-the-art REST API testing tools, including RESTler, MoRest, EvoMaster, and ARAT-RL. Our results demonstrate that fine-tuning enables smaller models to outperform much larger models in detecting actionable parameter-dependency rules and generating valid inputs for REST API testing. We also evaluated different tool configurations, ranging from the base Llama3-8B model to fine-tuned versions, and explored multiple quantization techniques, including 2-bit, 4-bit, and 8-bit integer formats. Our study shows that small language models can perform as well as, or better than, large language models in REST API testing, balancing effectiveness and efficiency. Furthermore, LlamaRestTest outperforms state-of-the-art REST API testing tools in code coverage achieved and internal server errors identified, even when those tools use RESTGPT-enhanced specifications. Finally, through an ablation study, we show that each component of LlamaRestTest contributes to its overall performance.","Kim, Myeongsoo; Sinha, Saurabh; Orso, Alessandro","2025","Proceedings of the ACM on Software Engineering","String B","INCLUDE","","INCLUDE",""
"35","Technology adoption performance evaluation applied to testing industrial REST APIs","Testing is an important task within software development. To write test cases and integrate them into an automated test suite requires a significant amount of work. Given a set of requirements and specifications of a software, testing is needed to verify its correctness. When done manually, it is an expensive and error prone task. To facilitate such work, automated test-case generation via tools could be useful. Test-case generation can be facilitated by deterministic algorithm-driven approaches or non-deterministic approaches such as with AI (e.g., evolutionary and LLM). The different approaches come with their strengths and weaknesses, which must be considered when integrating these approaches into a product test procedure in industry. Several novel testing techniques and tools have been developed in academia and industry, but how effective they are and how to integrate them in real-world large industrial scenarios is still unclear. In this paper, a systematic approach is presented to evaluate test-case generation methodologies and integrate them into a scalable enterprise setup. The specific context is black-box testing of REST APIs, based on their OpenAPI schemas. The aim is to facilitate IT product development and service delivery. The proposed Technology Adoption Performance Evaluation (TAPE) approach is evaluated by a case study within the Group IT of Volkswagen AG. We evaluated existing tools such as OpenAPI Generator, EvoMaster and StarCoder which are built on different technologies. Our results show that these tools are of benefit for test engineers to facilitate test-case specification and design within the Group IT of Volkswagen AG.","Poth, Alexander; Rrjolli, Olsi; Arcuri, Andrea","2024","Automated Software Engineering","String B & String C","INCLUDE","","INCLUDE",""
"36","LogiAgent: Automated Logical Testing for REST Systems with LLM-Based Multi-Agents","Automated testing for REST APIs has become essential for ensuring the correctness and reliability of modern web services. While existing approaches primarily focus on detecting server crashes and error codes, they often overlook logical issues that arise due to evolving business logic and domain-specific requirements. To address this limitation, we propose LogiAgent, a novel approach for logical testing of REST systems. Built upon a large language model (LLM)-driven multi-agent framework, LogiAgent integrates a Test Scenario Generator, API Request Executor, and API Response Validator to collaboratively generate, execute, and validate API test scenarios. Unlike traditional testing methods that focus on status codes like 5xx, LogiAgent incorporates logical oracles that assess responses based on business logic, ensuring more comprehensive testing. The system is further enhanced by an Execution Memory component that stores historical API execution data for contextual consistency. We conduct extensive experiments across 12 real-world REST systems, demonstrating that LogiAgent effectively identifies 234 logical issues with an accuracy of 66.19%. Additionally, it basically excels in detecting server crashes and achieves superior test coverage compared to four state-of-the-art REST API testing tools. An ablation study confirms the significant contribution of LogiAgent's memory components to improving test coverage.","Zhang, Ke; Zhang, Chenxi; Wang, Chong; Zhang, Chi; Wu, Yachen; Xing, Zhenchang; Liu, Yang; Li, Qingshan; Peng, Xin","2025","ArXiv","String B","EXCLUDE","IC-T","EXCLUDE","Failed V1 screening"
"37","A Framework for Testing and Adapting REST APIs as LLM Tools","Large Language Models (LLMs) are increasingly used to build autonomous agents that perform complex tasks with external tools, often exposed through APIs in enterprise systems. Direct use of these APIs is difficult due to the complex input schema and verbose responses. Current benchmarks overlook these challenges, leaving a gap in assessing API readiness for agent-driven automation. We present a testing framework that systematically evaluates enterprise APIs when wrapped as Python tools for LLM-based agents. The framework generates data-aware test cases, translates them into natural language instructions, and evaluates whether agents can correctly invoke the tool, handle their inputs, and process its responses. We apply the framework to generate over 2400 test cases across different domains and develop a taxonomy of common errors, including input misinterpretation, output failures, and schema mismatches. We further classify errors to support debugging and tool refinement. Our framework provides a systematic approach to enabling enterprise APIs as reliable tools for agent-based applications.","Bandlamudi, Jayachandu; Chaudhuri, Ritwik; Gantayat, Neelamadhav; Mukherjee, Kushal; Agarwal, Prerna; Sindhgatta, Renuka; Mehta, Sameep","2025","ArXiv","String B","EXCLUDE","IC-T","EXCLUDE","Failed V1 screening"
"38","KAT: Dependency-Aware Automated API Testing with Large Language Models","API testing has increasing demands for software companies. Prior API testing tools were aware of certain types of dependencies that needed to be concise between operations and parameters. However, their approaches, which are mostly done manually or using heuristic-based algorithms, have limitations due to the complexity of these dependencies. In this paper, we present KAT (Katalon API Testing), a novel AI -driven approach that leverages the large language model GPT in conjunction with advanced prompting techniques to autonomously generate test cases to validate RESTful APIs. Our comprehensive strategy encompasses various processes to construct an operation depen-dency graph from an OpenAPI specification and to generate test scripts, constraint validation scripts, test cases, and test data. Our evaluation of KAT using 12 real-world RESTful services shows that it can improve test coverage, detect more undocumented status codes, and reduce false positives in these services in comparison with a state-of-the-art automated test generation tool. These results indicate the effectiveness of using the large language model for generating test scripts and data for API testing.","Le, Tri; Tr?n, T.; Cao, Duy; Le, Vy; Nguyen, Tien; Nguyen, Vu","2024","2024 IEEE Conference on Software Testing, Verification and Validation (ICST)","String B & String C","INCLUDE","","INCLUDE",""
"39","Test Amplification for REST APIs via Single and Multi-Agent LLM Systems","REST APIs (Representational State Transfer Application Programming Interfaces) play a vital role in modern cloud-native applications. As these APIs grow in complexity and scale, ensuring their correctness and robustness becomes increasingly important. Automated testing is essential for identifying hidden bugs, particularly those that appear in edge cases or under unexpected inputs. However, creating comprehensive and effective test suites for REST APIs is challenging and often demands significant effort. In this paper, we investigate the use of large language model (LLM) systems, both single-agent and multi-agent setups, for amplifying existing REST API test suites. These systems generate additional test cases that aim to push the boundaries of the API, uncovering behaviors that might otherwise go untested. We present a comparative evaluation of the two approaches across several dimensions, including test coverage, bug detection effectiveness, and practical considerations such as computational cost and energy usage. Our evaluation demonstrates increased API coverage, identification of numerous bugs in the API under test, and insights into the computational cost and energy consumption of both approaches.","Nooyens, Robbe; Bardakci, Tolgahan; Beyazit, Mutlu; Demeyer, Serge","2025","ArXiv","String B","EXCLUDE","IC-T","EXCLUDE","Failed V1 screening"
"40","A System for Comprehensive Assessment of RAG Frameworks","Retrieval Augmented Generation (RAG) has emerged as a standard paradigm for enhancing the factual accuracy and contextual relevance of Large Language Models (LLMs) by integrating retrieval mechanisms. However, existing evaluation frameworks fail to provide a holistic black-box approach to assessing RAG systems, especially in real-world deployment scenarios. To address this gap, we introduce SCARF (System for Comprehensive Assessment of RAG Frameworks), a modular and flexible evaluation framework designed to benchmark deployed RAG applications systematically. SCARF provides an end-to-end, black-box evaluation methodology, enabling a limited-effort comparison across diverse RAG frameworks. Our framework supports multiple deployment configurations and facilitates automated testing across vector databases and LLM serving strategies, producing a detailed performance report. Moreover, SCARF integrates practical considerations such as response coherence, providing a scalable and adaptable solution for researchers and industry professionals evaluating RAG applications. Using the REST APIs interface, we demonstrate how SCARF can be applied to real-world scenarios, showcasing its flexibility in assessing different RAG frameworks and configurations. SCARF is available at GitHub repository.","Rengo, Mattia; Beadini, Senad; Alfano, Domenico; Abbruzzese, Roberto","2025","ArXiv","String B","EXCLUDE","IC-T","EXCLUDE","Failed V1 screening"
"41","SATORI: Static Test Oracle Generation for REST APIs","REST API test case generation tools are evolving rapidly, with growing capabilities for the automated generation of complex tests. However, despite their strengths in test data generation, these tools are constrained by the types of test oracles they support, often limited to crashes, regressions, and noncompliance with API specifications or design standards. This paper introduces SATORI (Static API Test ORacle Inference), a black-box approach for generating test oracles for REST APIs by analyzing their OpenAPI Specification. SATORI uses large language models to infer the expected behavior of an API by analyzing the properties of the response fields of its operations, such as their name and descriptions. To foster its adoption, we extended the PostmanAssertify tool to automatically convert the test oracles reported by SATORI into executable assertions. Evaluation results on 17 operations from 12 industrial APIs show that SATORI can automatically generate up to hundreds of valid test oracles per operation. SATORI achieved an F1-score of 74.3%, outperforming the state-of-the-art dynamic approach AGORA+(69.3%)—which requires executing the API—when generating comparable oracle types. Moreover, our findings show that static and dynamic oracle inference methods are complementary: together, SATORI and AGORA+ found 90% of the oracles in our annotated ground-truth dataset. Notably, SATORI uncovered 18 bugs in popular APIs (Amadeus Hotel, Deutschebahn, FDIC, GitLab, Marvel, OMDb and Vimeo) leading to documentation updates by the API maintainers.","Alonso, Juan C.; Martin-Lopez, Alberto; Segura, Sergio; Bavota, Gabriele; Ruiz-Cortés, Antonio","2025","2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE)","String B & String C","INCLUDE","","INCLUDE",""
"42","LLM Prompt Engineering for Automated White-Box Integration Test Generation in REST APIs","This study explores prompt engineering for automated white-box integration testing of RESTful APIs using Large Language Models (LLMs). Four versions of prompts were designed and tested across three OpenAI models (GPT-3.5 Turbo, GPT-4 Turbo, and GPT-4o) to assess their impact on code coverage, token consumption, execution time, and financial cost. The results indicate that different prompt versions, especially with more advanced models, achieved up to 90% coverage, although at higher costs. Additionally, combining test sets from different models increased coverage, reaching 96% in some cases. We also compared the results with EvoMaster, a specialized tool for generating tests for REST APIs, where LLM-generated tests achieved comparable or higher coverage in the benchmark projects. Despite higher execution costs, LLMs demonstrated superior adaptability and flexibility in test generation.","Rincon, André Mesquita; Vincenzi, A.; Faria, João Pascoal","2025","2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","String B & String C","INCLUDE","","EXCLUDE","EC-S"
"43","SAINT: Service-level Integration Test Generation with Program Analysis and LLM-based Agents","Enterprise applications are typically tested at multiple levels, with service-level testing playing an important role in validating application functionality. Existing service-level testing tools, especially for RESTful APIs, often employ fuzzing and/or depend on OpenAPI specifications which are not readily available in real-world enterprise codebases. Moreover, these tools are limited in their ability to generate functional tests that effectively exercise meaningful scenarios. In this work, we present SAINT, a novel white-box testing approach for service-level testing of enterprise Java applications. SAINT combines static analysis, large language models (LLMs), and LLM-based agents to automatically generate endpoint and scenario-based tests. The approach builds two key models: an endpoint model, capturing syntactic and semantic information about service endpoints, and an operation dependency graph, capturing inter-endpoint ordering constraints. SAINT then employs LLM-based agents to generate tests. Endpoint-focused tests aim to maximize code and database interaction coverage. Scenario-based tests are synthesized by extracting application use cases from code and refining them into executable tests via planning, action, and reflection phases of the agentic loop. We evaluated SAINT on eight Java applications, including a proprietary enterprise application. Our results illustrate the effectiveness of SAINT in coverage, fault detection, and scenario generation. Moreover, a developer survey provides strong endorsement of the scenario-based tests generated by SAINT. Overall, our work shows that combining static analysis with agentic LLM workflows enables more effective, functional, and developer-aligned service-level test generation.","Pan, Rangeet; Pavuluri, Raju; Huang, Ruikai; Krishna, Rahul; Stennett, Tyler; Orso, Alessandro; Sinha, Saurabh","2025","ArXiv","String B","EXCLUDE","IC-T","EXCLUDE","Failed V1 screening"
"44","????????? ???????? ????? API ?? ?????????? ?????????? ?????? ?????????? ??????????? ????????????","The rapid adoption of microservice architecture has made application programming interfaces (APIs) the primary integration mechanism in modern software systems. Accordingly, the quality of API testing depends directly on the completeness and structure of API specifications available to testing engineers. In practice, however, the majority of projects document their APIs as informal plain text in corporate knowledge management systems - Confluence, Google Docs, Notion - without adhering to any unified standard. A systematic analysis of four current ISTQB syllabuses (CTFL v4.0.1, CTAL-TAE v2.0, CT-TAS v1.0, CT-AI v1.0) reveals that none of them defines the minimum required content for a textual endpoint description, despite recognising documentation quality as a measurable characteristic (FL-BO4). Existing research confirms the problem: Uddin and Robillard identified ""incompleteness"" as the most prevalent failure mode across API documentation, while Murphy et al. reported that specifications are ""frequently missing, vague, or outdated"" in real development teams. Machine-readable formats such as OpenAPI Specification address a different audience and assume technical knowledge of YAML or JSON, leaving the gap in informal human-readable documentation unresolved. The purpose of this study is to develop and validate the Minimal API Description Standard (MADS) - a structured 10-field template for plain-text API endpoint descriptions in corporate documentation tools - and to demonstrate its impact on software testing quality. MADS organises ten fields into four functional blocks: endpoint identification (HTTP method, URL pattern, operation name), input data (request parameters with types and constraints, request body), output data (successful response structure, error codes with conditions), and security context (authentication model, preconditions and business rules, API version). Fields are classified as mandatory or recommended. Each field is justified through convergent evidence from the scientific literature and practical security requirements (OWASP API Security Top 10). Empirical evaluation was conducted across three REST API endpoints of a typical order management service. Test cases were designed using two ISTQB-standard techniques: Boundary Value Analysis (BVA) and Equivalence Partitioning (EP). Three indicators were measured for both an unstructured description (UD) and a MADS-compliant description: the standard Requirement Coverage metric (RC, per ISTQB CTFL v4.0.1 section 5.3.1 and IEEE 829), the applicability of BVA and EP as a binary indicator per parameter, and the total number of test cases. Results show that RC increases from 23% (UD) to 100% (MADS), BVA/EP applicability rises from 25% to 100% of parameters, and the test case count grows from 5 to 26 — a 5.2-fold increase achieved exclusively through structured documentation - a 5.3-fold improvement achieved exclusively through structured documentation, without additional development resources. Response Code Coverage reached zero for all three endpoints under the unstructured condition, meaning negative test scenarios were entirely absent. The study further demonstrates that MADS serves as a structural prerequisite for reliable LLM-based test generation pipelines: structured MADS chunks improve RAG retrieval accuracy and enable deterministic resource access in Model Context Protocol (MCP) agentic architectures. The article proposes that the ISTQB Foundation Level Working Group consider incorporating minimum requirements for informal textual API descriptions into a future revision of the CTFL syllabus. Future research directions include automated MADS compliance validation, empirical correlation studies between MADS adoption and post-release defect rates, and extension of the standard to GraphQL and gRPC APIs.","??????????, ?.?.","2026","System technologies","String B","INCLUDE","","EXCLUDE","EC-N"
"45","Generating REST API Tests With Descriptive Names","Automated test generation has become a key technique for ensuring software quality, particularly in modern API-based architectures. However, automatically generated test cases are typically assigned non-descriptive names (e.g., test0, test1), which reduces their readability and hinders their usefulness during comprehension and maintenance. In this work, we present three novel deterministic techniques to generate REST API test names. We then compare eight techniques in total for generating descriptive names for REST API tests automatically produced by the fuzzer EvoMaster, using 10 test cases generated for 9 different open-source APIs. The eight techniques include rule-based heuristics and large language model (LLM)-based approaches. Their effectiveness was empirically evaluated through two surveys (involving up to 39 people recruited via LinkedIn). Our results show that a rule-based approach achieves the highest clarity ratings among deterministic methods, performs on par with state-of-the-art LLM-based models such as Gemini and GPT-4o, and significantly outperforms GPT-3.5. To further evaluate the practical impact of our results, an industrial case study was carried out with practitioners who actively use EvoMaster at Volkswagen AG. A developer questionnaire was then carried out based on the use of EvoMaster on four different APIs by four different users, for a total of 74 evaluated test cases. Feedback from practitioners further confirms that descriptive names produced by this approach improve test suite readability. These findings highlight that lightweight, deterministic techniques can serve as effective alternatives to computationally expensive and security-sensitive LLM-based approaches for automated system-level test naming, providing a practical step toward more developer-friendly API test generation.","Garrett, Philip; Galeotti, J.; Arcuri, Andrea; Poth, Alexander; Rrjolli, Olsi","2025","ArXiv","String B","EXCLUDE","IC-T","EXCLUDE","Failed V1 screening"
