id;title;authors;year;venue;search_string;v1_decision;v1_reason
30;A framework for testing and adapting rest apis as llm tools;"Bandlamudi, Jayachandu; Chaudhuri, Ritwik; Gantayat, Neelamadhav; Ghosh, Sambit; Mukherjee, Kushal; Agarwal, Prerna; Sindhgatta, Renuka; Mehta, Sameep";2025;arXiv preprint arXiv:2504.15546;String A;INCLUDE;LLM-based REST API testing framework
31;From Requirements to Executable Tests: LLM-Based System Test Generation for REST APIs;"Kochanovskis, Jaroslav; Slotkien?, Asta";2026;Vilnius University Open Series;String A;INCLUDE;LLM-based REST API test generation
32;Automated Test Data and Test Oracle Generation for REST APIs;Valenzuela, Juan Carlos Alonso;2025;;String A;INCLUDE;LLM-based test data and oracle generation
33;Generating REST API Tests With Descriptive Names;"Garrett, Philip; Galeotti, Juan P.; Arcuri, Andrea; Poth, Alexander; Rrjolli, Olsi";2025;arXiv preprint arXiv:2512.01690;String A;EXCLUDE;EC5 - Test naming/maintenance, not test generation
34;A Multi-Agent Collaborative Framework for API Automated Testing Based on Large Language Models;Malema, Bao;2026;Data Systems and Intelligence Quarterly;String A;INCLUDE;Multi-agent LLM for API testing
35;You Can REST Now: Automated REST API Documentation and Testing via LLM-Assisted Request Mutations;"Decrop, Alix; Devroey, Xavier; Papadakis, Mike; Schobbens, Pierre-Yves; Perrouin, Gilles";2024;arXiv preprint arXiv:2402.05102;String A;INCLUDE;LLM-assisted REST API testing
36;TestGPT-Server: Automatically Testing Microservices with Large Language Models at ByteDance;"Wang, Jue; Chen, Shuxiang; Liu, Yu; Deng, Yuan; Zhang, Lei; Fu, Yuanchang; Liu, Bo";2025;Proceedings of the 33rd ACM International Conference on the Foundations of Software Engineering;String A;INCLUDE;LLM-based API testing for microservices
37;Development and verification of an orchestration architecture of AI agents for automated API testing with a unified representation of requirements;Moskalenko, Maksym;2026;Technology audit and production reserves;String A;INCLUDE;AI agents for automated API testing
38;Using LLM for Mining and Testing Constraints in API Testing;"Huynh, Hieu; Le, Quoc-Tri; Nguyen, Tien N.; Nguyen, Vu";2024;Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering;String A;EXCLUDE;EC3 - Extended abstract/poster
39;DeepREST: Automated Test Case Generation for REST APIs Exploiting Deep Reinforcement Learning;"Corradini, Davide; Montolli, Zeno; Pasqua, Michele; Ceccato, Mariano";2024;Proceedings of the 39th IEEE/ACM International Conference on Automated Software Engineering;String A;EXCLUDE;EC6 - Deep Reinforcement Learning, not LLMs
40;APICaseGen: Combining LLMs and conventional approaches for automated test-case generation for web APIs;"Schönfeld, Robert; Karol, Sven";;;String A;INCLUDE;LLM + API test generation
41;Assessing REST API Test Generation Strategies with Log Coverage;"Reinikainen, Nana; Mäntylä, Mika; Wang, Yuqing";2026;arXiv preprint arXiv:2604.07073;String A;INCLUDE;LLM-based REST API test generation
42;Dyner: Optimized test case generation for representational state transfer (rest) ful application programming interface (api) fuzzers guided by dynamic error responses;"Chen, Juxing; Chen, Yuanchao; Pan, Zulie; Chen, Yu; Li, Yuwei; Li, Yang; Zhang, Min; Shen, Yi";2024;Electronics;String A;INCLUDE;LLM-based REST API testing evaluation
43;RESTifAI: LLM-Based Workflow for Reusable REST API Testing;"Kogler, Leon; Ehrhart, Maximilian; Dornauer, Benedikt; Enoiu, Eduard Paul";2025;arXiv preprint arXiv:2512.08706;String A;INCLUDE;LLM workflow for REST API testing
44;Technology adoption performance evaluation applied to testing industrial REST APIs;"Poth, Alexander; Rrjolli, Olsi; Arcuri, Andrea";2025;Automated Software Engineering;String A;INCLUDE;LLM-based REST API testing evaluation
45;Combining Static and Dynamic Approaches for Mining and Testing Constraints for RESTful API Testing;"Huynh, Hieu; Le, Tri; Nguyen, Vu; Nguyen, Tien N.";2025;arXiv e-prints;String A;INCLUDE;LLM + REST API constraint mining and testing
46;Specrawler: Generating openapi specifications from api documentation using large language models;"Lazar, Koren; Vetzler, Matan; Uziel, Guy; Boaz, David; Goldbraich, Esther; Amid, David; Anaby-Tavor, Ateret";2024;arXiv preprint arXiv:2402.11625;String A;EXCLUDE;EC4 - OpenAPI specification generation only
47;Agentic LLMs for REST API Test Amplification: A Comparative Study Across Cloud Applications;"Besjes, Jarne; Nooyens, Robbe; Bardakci, Tolgahan; Beyazit, Mutlu; Demeyer, Serge";2025;arXiv preprint arXiv:2510.27417;String A;INCLUDE;Agentic LLMs for REST API testing
48;Automating quality assurance for industrial web applications: a hybrid approach using API fuzzing and agentic UI testing;Wu, Yuewei;2025;;String A;UNSURE;Need full-text review
49;Enhancing REST API Testing with NLP Techniques;"Kim, Myeongsoo; Corradini, Davide; Sinha, Saurabh; Orso, Alessandro; Pasqua, Michele; Tzoref-Brill, Rachel; Ceccato, Mariano";2023;Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis;String A;EXCLUDE;EC6 - Traditional NLP, not LLMs
50;Test Oracle Generation for REST APIs;"Alonso, Juan C.; Ernst, Michael D.; Segura, Sergio; Ruiz-Cortés, Antonio";2026;ACM Transactions on Software Engineering and Methodology;String A;EXCLUDE;EC6 - Daikon-based oracle generation, not LLMs
51;LLM-Enhanced Derivation of the Maturity Level of RESTful Services;"Smardas, Antonios; Kritikos, Kyriakos";2025;Advanced Information Systems Engineering Workshops;String A;EXCLUDE;EC3 - Thesis/dissertation
52;Analysis and automation in service-based systems: test generation and healing for non-regression and security;Sue, Jarod;2025;;String A;EXCLUDE;EC6 - LLM used for healing, not test generation
53;Automated Management of Inter-Parameter Dependencies in Web APIs. The IDL Tool Suite;Alias Barakat, Saman;2025;;String A;EXCLUDE;EC6 - DSL/CSP-based approach, not LLMs
54;PhD Thesis Summary;"PA?CA, Emil-Marian; MATEI, Eng Oliviu";;;String A;EXCLUDE;EC3 - Seminar paper
55;Dynamic analysis of inter-endpoint dependencies in RESTful APIs;Gerokonstantis, Dimitrios-Dafid;2025;;String A;EXCLUDE;EC6 - No LLM-based API testing
56;BOSQTGEN: Breaking the Sound Barrier in Test Generation;"Asif, S. M.; Chen, James; Barr, Earl T.; Marron, Mark";2025;arXiv preprint arXiv:2510.19777;String A;INCLUDE;LLM-assisted REST API test generation
57;AI-Assisted Hybrid Vulnerability Analytics for RESTful APIs: Static Rule Matching, Dynamic Fuzzing, and Exploitability Validation;"Raghavan, Karthik; Padmanabhan, Nivetha; Venkatesh, Arjun";2023;Journal of AI Analytics and Applications;String A;EXCLUDE;EC6 - Traditional ML, not LLMs
58;Log-based, Business-aware REST API Testing;"Yang, Ding; Qian, Ruixiang; Wei, Zhao; Chen, Zhenyu; Fang, Chunrong";2026;arXiv preprint arXiv:2604.08007;String A;EXCLUDE;EC6 - Log-based testing without LLMs
59;Meta-fair: Ai-assisted fairness testing of large language models;"Romero-Arjona, Miguel; Parejo, José A.; Alonso, Juan C.; Sánchez, Ana B.; Arrieta, Aitor; Segura, Sergio";2026;Information and Software Technology;String A;EXCLUDE;IC4 - LLM fairness testing, not REST API testing
60;The IDL tool suite: Specifying and analyzing inter-parameter dependencies in web APIs;"Barakat, Saman; Martin-Lopez, Alberto; Müller, Carlos; Segura, Sergio; Ruiz-Cortés, Antonio";2025;SoftwareX;String A;UNSURE;Need abstract review
61;SBFT Tool Competition 2026: REST League;"Pasqua, Michele; Corradini, Davide; Mari, Sofia; Ceccato, Mariano";2026;Proceedings of the 19th IEEE/ACM International Workshop on Search-Based and Fuzz Testing (SBFT 2026);String A;EXCLUDE;EC6 - REST testing competition without LLMs
62;OASQuali: Automated Quality Analysis of OpenAPI Specifications;"Decrop, Alix; Vandeloise, Mikel; Heymans, Patrick; Perrouin, Gilles";2026;Proceedings of the 26th International Conference on Web Engineering, ICWE 2026;String A;EXCLUDE;EC4 - OpenAPI quality analysis, not API testing
63;Detecting and Mitigating Flakiness in REST API Fuzzing;"Zhang, Man; Shen, Chongyang; Arcuri, Andrea; Yue, Tao";2026;arXiv preprint arXiv:2603.28452;String A;EXCLUDE;EC6 - REST API fuzzing without LLMs
64;Validation of inter-parameter dependencies in API gateways;"Barakat, Saman; Segura, Sergio";2025;Computer Standards & Interfaces;String A;EXCLUDE;EC6 - IDL-based dependency validation, not LLMs
65;The Perfection Paradox: From Architect to Curator in AI-Assisted API Design;"Ahmad, Mak; Macvean, Andrew; Geewax, Jj; Karger, David R";2026;Proceedings of the Extended Abstracts of the 2026 CHI Conference on Human Factors in Computing Systems;String A;EXCLUDE;EC3 - Extended abstract
66;Implementación de pruebas automatizadas utilizando inteligencia artificial generativa para la API de autenticación y autorización basada en OPENID;Guiza Ortiz, Maria Camila;;;String A;EXCLUDE;IC1/IC6 need verification
67;A Survey of Protocol Fuzzing;"Zhang, Xiaohan; Zhang, Cen; Li, Xinghua; Du, Zhengjie; Mao, Bing; Li, Yuekang; Zheng, Yaowen; Li, Yeting; Pan, Li; Liu, Yang; Deng, Robert";2025;ACM Computing Surveys;String A;EXCLUDE;EC6 - Protocol fuzzing survey, not LLMs
68;Vibe coding vs. agentic coding: Fundamentals and practical implications of agentic ai;"Sapkota, Ranjan; Roumeliotis, Konstantinos I.; Karkee, Manoj";2025;arXiv preprint arXiv:2505.19443;String A;EXCLUDE;IC4 - AI coding study, not REST API testing
69;AI and Microservices: Integrating AI into API Design and Distributed Microservice Architecture;"Pandiya, Dileep Kumar; Charankar, Nilesh";2025;;String A;EXCLUDE;EC6 - AI in microservices, not API test generation
70;Deliverable D 4.2;"Paniagua, Cristina; Moutinho, Filipe";;;String A;EXCLUDE;IC3 - Project deliverable/report
71;Prompt-Based REST API Test Amplification in Industry: An Experience Report;"Bardakci, Tolgahan; Faes, Andreas; Beyazit, Mutlu; Demeyr, Serge";2026;arXiv;String B;INCLUDE;LLM-based REST API test amplification
72;A First Look at Bugs in LLM Inference Engines;"Liu, Mugeng; Zhong, Siqi; Bi, Weichen; Zhang, Yixuan; Chen, Zhiyang; Chen, Zhenpeng; Liu, Xuanzhe; Ma, Yun";2026;;String B;EXCLUDE;EC6 - Bugs in LLM engines, not API testing
73;Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review;"Zhang, Junwei; Hu, Xing; Gao, Cuiyun; Xia, Xin; Li, Shanping";2026;;String B;EXCLUDE;IC4 - SLR on unit test generation, not REST APIs
74;Fuzzing REST APIs in Industry: Necessary Features and Open Problems;"Arcuri, Andrea; Poth, Alexander; Rrjolli, Olsi; Garrett, Philip; Galeotti, Juan P.";2026;arXiv;String B;EXCLUDE;EC6 - REST API fuzzing without LLMs
75;Real Faults in Model Context Protocol (MCP) Software: a Comprehensive Taxonomy;"Taraghi, Mina; Morovati, Mohammad Mehdi; Khomh, Foutse";2026;arXiv;String B;EXCLUDE;EC6 - MCP fault taxonomy, not LLM-based API testing
76;LLM-Based Robustness Testing of Microservice Applications: An Empirical Study;"Tigulla, Hrushitha Goud; Vieira, Marco";2026;arXiv;String B;INCLUDE;LLM-based robustness testing for microservice APIs
77;SAINT: Service-level Integration Test Generation with Program Analysis and LLM-based Agents;"Pan, Rangeet; Pavuluri, Raju; Huang, Ruikai; Krishna, Rahul; Stennett, Tyler; Orso, Alessandro; SInha, Saurabh";2026;arXiv;String B;INCLUDE;LLM-agent based REST API integration testing
78;WFC/WFD: Web Fuzzing Commons, Dataset and Guidelines to Support Experimentation in REST API Fuzzing;"Sahin, Omur; Zhang, Man; Arcuri, Andrea";2025;arXiv;String B;EXCLUDE;EC6 - REST API fuzzing dataset/tool without LLMs
79;REST API Functional Tester;"Saha, Diptikalyan; Sondhi, Devika; Haldar, Swagatam; Sinha, Saurabh";2025;ACM;String B;INCLUDE;LLM-based REST API test generation
80;Large Language Models for Software Testing: A Research Roadmap;"Augusto, Cristian; Bertolino, Antonia; Angelis, Guglielmo De; Lonetti, Francesca; Morán, Jesús";2025;arXiv;String B;EXCLUDE;EC3 - Research roadmap/review paper
81;Enhancing LLM-Based Bug Reproduction for Android Apps via Pre-Assessment of Visual Effects;"Xiao, Xiangyang; Huang, Huaxun; Wu, Rongxin";2026;arXiv;String B;EXCLUDE;IC4 - Android GUI bug reproduction, not REST API testing
82;When Specifications Meet Reality: Uncovering API Inconsistencies in Ethereum Infrastructure;"Ma, Jie; He, Ningyu; Xi, Jinwen; Xing, Mingzhe; Liu, Liangxin; Luo, Jiushenzi; Fu, Xiaopeng; Wu, Chiachih; Wang, Haoyu; Gao, Ying; Yue, Yinliang";2026;;String B;EXCLUDE;IC4 - Ethereum JSON-RPC APIs, not REST/OpenAPI testing
83;Use of GNN to automate SSDLC Alert Dismissal Review Process: Study on the Usage & Efficacy of Novel Deep Learning Techniques in Appsec;Raha, Devjyoti;2026;Springer Fachmedien Wiesbaden;String B;EXCLUDE;EC6 - GNN-based security alert classification, not LLM testing
84;Cast: Automated Resilience Testing for Production Cloud Service Systems;"Chen, Zhuangbin; Deng, Zhiling; Zhang, Kaiming; Liu, Yang; Cui, Cheng; Zhong, Jinfeng; Zheng, Zibin";2026;arXiv;String B;EXCLUDE;EC6 - Resilience testing without LLMs
85;VLM-Fuzz: Vision language model assisted recursive depth-first search exploration for effective GUI testing of android apps;"Demissie, Biniam Fisseha; Tun, Yan Naing; Shar, Lwin Khin; Ceccato, Mariano";2026;;String B;EXCLUDE;IC4 - Android GUI testing, not REST API testing
86;Search-Based Software Engineering and AI Foundation Models: Current Landscape and Future Roadmap;"Sartaj, Hassan; Ali, Shaukat; Arcaini, Paolo; Arcuri, Andrea";2026;arXiv;String B;EXCLUDE;EC3 - Roadmap/landscape paper
87;A Survey of Reinforcement Learning for Software Engineering;"Wang, Dong; You, Hanmo; Zhu, Lingwei; Lin, Kaiwei; Chen, Zheng; Yang, Chen; Yu, Junji; Wang, Zan; Chen, Junjie";2025;arXiv;String B;EXCLUDE;IC4 - Survey paper, not REST API testing
88;Test vs Mutant: Adversarial LLM Agents for Robust Unit Test Generation;"Chang, Pengyu; Fang, Yixiong; Chen, Silin; Shi, Yuling; Shen, Beijun; Gu, Xiaodong";2026;arXiv;String B;EXCLUDE;IC4 - Unit test generation, not REST API testing
89;LLMDroid: Enhancing Automated Mobile App GUI Testing Coverage with Large Language Model Guidance;"Wang, Chenxu; Liu, Tianming; Zhao, Yanjie; Yang, Minghui; Wang, Haoyu";2025;;String B;EXCLUDE;IC4 - Mobile GUI testing, not REST API testing
90;Efficacy of Fine-Tuned Large Language Model in CT Protocol Assignment as Clinical Decision-Supporting System;"Kanemaru, Noriko; Yasaka, Koichiro; Okimoto, Naomasa; Sato, Mai; Nomura, Takuto; Morita, Yuichi; Katayama, Akira; Kiryu, Shigeru; Abe, Osamu";2025;;String B;EXCLUDE;IC4 - Medical CT protocol assignment, not API testing
91;CoverUp: Effective High Coverage Test Generation for Python;"Altmayer Pizzorno, Juan; Berger, Emery D.";2025;;String B;EXCLUDE;IC4 - Python test generation, not REST API testing
92;How well LLM-based test generation techniques perform with newer LLM versions?;"Konstantinou, Michael; Degiovanni, Renzo; Papadakis, Mike";2026;arXiv;String B;EXCLUDE;IC4 - Unit test generation evaluation, not REST API testing
93;An initial investigation of ChatGPT unit test generation capability;"Guilherme, Vitor; Vincenzi, Auri";2023;ACM;String B;EXCLUDE;IC4 - Java unit test generation, not REST API testing
94;Enhancing Large Language Models for Text-to-Testcase Generation;"Alagarsamy, Saranya; Tantithamthavorn, Chakkrit; Takerngsaksiri, Wannita; Arora, Chetan; Aleti, Aldeida";2024;arXiv;String B;EXCLUDE;IC4 - Text-to-testcase generation, not REST API testing
95;Evaluating and Improving ChatGPT for Unit Test Generation;"Yuan, Zhiqiang; Liu, Mingwei; Ding, Shiji; Wang, Kaixin; Chen, Yixuan; Peng, Xin; Lou, Yiling";2024;;String B;EXCLUDE;IC4 - Unit test generation, not REST API testing
96;PR-Aware Automated Unit Test Generation: Challenges and Opportunities;"Haratian, Vahid; Akar, Atakan; cCakar, Berk; Tuzun, Eray";2026;;String B;EXCLUDE;IC4 - Unit test generation, not REST API testing
97;CasModaTest: A Cascaded and Model-agnostic Self-directed Framework for Unit Test Generation;"Ni, Chao; Wang, Xiaoya; Chen, Liushan; Zhao, Dehai; Cai, Zhengong; Wang, Shaohua; Yang, Xiaohu";2024;arXiv;String B;EXCLUDE;IC4 - Unit test generation, not REST API testing
98;Unit Test Generation using Generative AI : A Comparative Performance Analysis of Autogeneration Tools;"Bhatia, Shreya; Gandhi, Tarushi; Kumar, Dhruv; Jalote, Pankaj";2024;ACM;String B;EXCLUDE;IC4 - Unit test generation, not REST API testing
99;An empirical study of Android test generation tools in industrial cases;"Wang, Wenyu; Li, Dengfeng; Yang, Wei; Cao, Yurui; Zhang, Zhenwen; Deng, Yuetang; Xie, Tao";2018;ACM;String B;EXCLUDE;IC4 - Android/mobile testing, not REST API testing
100;Automating a Complete Software Test Process Using LLMs: An Automotive Case Study;"Wang, Shuai; Yu, Yinan; Feldt, Robert; Parthasarathy, Dhasarathy";2025;arXiv;String C;INCLUDE;LLM-based testing for in-vehicle APIs
101;Automated Test Generation for Medical Rules Web Services: A Case Study at the Cancer Registry of Norway;"Laaber, Christoph; Yue, Tao; Ali, Shaukat; Schwitalla, Thomas; Nygård, Jan F.";2023;ACM;String C;EXCLUDE;EC6 - Uses EvoMaster, no LLM/GenAI
102;Testing Medical Rules Web Services in Practice;"Laaber, Christoph; Ali, Shaukat; Schwitalla, Thomas; Nygård, Jan F.";2024;arXiv;String C;EXCLUDE;EC6 - Uses EvoMaster, no LLM/GenAI
103;MioHint: LLM-assisted Mutation for Whitebox API Testing;"Li, Jia; Shen, Jiacheng; Su, Yuxin; Lyu, Michael R.";2026;arXiv;String C;INCLUDE;LLM-assisted mutation testing for REST APIs
104;Utilizing API Response for Test Refinement;"Sondhi, Devika; Sharma, Ananya; Saha, Diptikalyan";2025;arXiv;String C;INCLUDE;LLM-based API response refinement
105;Systematic Mapping of Empirical Research on LLM-based Test Generation: Research Gaps, Methodologies, and Emerging Trends;"Marques Prates, Jorge; Jimez, Bruno Oliveira Costa; Melo, Silvana Morita; Souza, Igor Roberto Michalski; Garcia, Rogério Eduardo";;;String C;EXCLUDE;EC3 - Systematic mapping study
106;Refining Tests through API Response Evaluation;"Sondhi, Devika; Sharma, Ananya; Saha, Diptikalyan";2026;ACM;String C;INCLUDE;LLM-based REST API logical testing
107;Automated Unit Test Generation for the Google Test Framework Using Large Language Models: An Industrial Case Study;Lundberg, Albert;2024;;String C;EXCLUDE;IC4 - Unit test generation, not REST API testing
108;LLM-enhanced evolutionary test generation for untyped languages;"Yang, Ruofan; Xu, Xianghua; Wang, Ran";2025;;String C;EXCLUDE;IC4 - Android/mobile testing, not REST API testing
109;A quantized LLM driven framework for automated software testing;Ahmed, Rashed;2026;;String C;INCLUDE;LLM-based API security testing
110;The Use of Large Language Models in Mobile Application Testing;Salmi, Sara;2024;;String C;EXCLUDE;EC5 - API benchmark, not testing approach
111;Combinatorial methods and search with generative AI for real-world testing and API synthesis;Zhong, Hua;2025;;String C;EXCLUDE;EC3 - Master's thesis
112;Multi-Agent LLM-based Metamorphic Testing for REST APIs;"Khan, Shehroz; Mughees, Abdullah; Sudheerbabu, Gaadha; Ahmad, Tanwir; Truscan, Dragos";2026;arXiv;String C;INCLUDE;Generative AI for testing/API synthesis
113;Advancements and Challenges in Using AI and ML to Improve API Testing Efficiency, Coverage, and Effectiveness;Jangam, Sandeep Kumar;2024;;String C;INCLUDE;Multi-agent metamorphic REST API testing
114;Leveraging large language models for automated end-to-end testing: an empirical analysis of automated testing tools through experiments;Ihegbu, Simon;2026;;String C;EXCLUDE;EC3 - Review/discussion paper
115;LogiAgent: Automated Logical Testing for REST Systems with LLM-Based Multi-Agents;"Zhang, Ke; Zhang, Chenxi; Wang, Chong; Zhang, Chi; Wu, YaChen; Xing, Zhenchang; Liu, Yang; Li, Qingshan; Peng, Xin";2025;arXiv;String C;EXCLUDE;IC4 - UI test-script generation, not REST API testing
116;Enhancing Differential Testing with LLMs for Testing Deep Learning Libraries;"Li, Meiziniu; Li, Dongze; Liu, Jianmeng; Cao, Jialun; Tian, Yongqiang; Cheung, Shing-Chi";2026;;String C;INCLUDE;LLM-based differential API testing
117;Automating Invariant Filtering: Leveraging LLMs to Streamline Test Oracle Generation;"Fischer, Stefan; Klammer, Claus";2025;Springer Nature Switzerland;String C;EXCLUDE;IC4 - GraphQL API testing, not REST/OpenAPI testing
118;From REST to MCP: An empirical study of API wrapping and automated server generation for LLM agents;"Mastouri, Meriem; Ksontini, Emna; Barrak, Amine; Kessentini, Wael";2025;;String C;INCLUDE;ASTRA - API response evaluation and refinement
119;PrediQL: Automated Testing of GraphQL APIs with LLMs;"Liu, Shaolun; Marefat, Sina; Tsai, Omar; Chen, Yu; Deng, Zecheng; Wang, Jia; Tayebi, Mohammad A.";2025;arXiv;String C;EXCLUDE;IC4 - GraphQL API testing
120;Generalizing Test Cases for Comprehensive Test Scenario Coverage;"Qi, Binhang; Lin, Yun; Weng, Xinyi; Liu, Chenyan; Sun, Hailong; Fraser, Gordon; Dong, Jin Song";2026;arXiv;String C;INCLUDE;PrediQL benchmark/tool-use focus
